height	angle	overlap	gap	Cl	Cd	Cl/Cd
112.7	-14.375	6.9	26.3	2.588489	0.046718	55.40667409
74.9	-8.375	26.7	34.9	2.012876	0.03769	53.40610241
89.3	-13.375	-12.9	21.7	2.759094	0.053367	51.70037664
145.1	-17.875	-29.1	21.5	2.604553	0.051455	50.61807405
65.9	-18.375	15.3	36.5	2.903064	0.190619	15.22966756
186.5	-20.875	8.1	22.9	2.437768	0.160156	15.22120932
132.5	-4.875	29.1	31.3	1.25025	0.023478	53.25198058
55.1	-9.125	21.3	25.5	2.44564	0.050576	48.35574185
105.5	-2.625	-0.3	33.1	1.124574	0.02575	43.6727767
170.3	-2.375	-17.7	36.7	0.916378	0.02698	33.96508525
98.3	-2.125	20.1	38.9	1.078882	0.023245	46.41350828
58.7	-16.625	3.3	31.9	3.574613	0.086362	41.39104004
71.3	-7.125	-9.3	24.9	2.069028	0.039817	51.9634327
168.5	-8.125	27.3	38.3	1.502026	0.025861	58.08073934
53.3	-3.125	25.5	35.5	1.510517	0.032648	46.26675447
101.9	-22.375	20.7	36.3	2.021728	0.196804	10.27279933
139.7	-8.875	15.9	39.3	1.695189	0.028767	58.92825112
56.9	-5.875	28.5	28.7	1.854436	0.037756	49.11632588
190.1	-14.875	3.9	34.1	2.175611	0.036631	59.39261827
40.7	-21.375	-11.7	32.1	3.269688	0.234823	13.92405344
154.1	-0.875	5.7	31.1	0.732899	0.039117	18.73607383
184.7	-7.375	-25.5	39.7	1.393271	0.024258	57.43552642
92.9	-18.125	13.5	30.3	2.661333	0.171109	15.5534367
130.7	-22.625	24.9	24.3	1.804651	0.193372	9.332535217
191.9	-24.375	-20.1	20.9	2.927324	0.066784	43.83271442
109.1	-6.875	19.5	26.9	1.606157	0.0285	56.35638596
24.5	-22.875	8.7	25.1	2.154204	0.239421	8.997556605
47.9	-5.125	22.5	37.9	1.88477	0.040967	46.00703005
60.5	-24.875	26.1	27.5	1.594561	0.212796	7.493378635
164.9	-13.125	12.9	28.5	2.093241	0.035073	59.68240527
163.1	-11.125	-17.1	29.7	1.880752	0.031472	59.75953228
121.7	-24.625	-3.3	33.9	2.703184	0.201613	13.4077862
134.3	-6.625	16.5	35.9	1.466865	0.025944	56.53966235
85.7	-16.875	-24.9	30.5	3.03597	0.065712	46.20115047
119.9	-7.625	10.5	36.1	1.658272	0.028858	57.46316446
172.1	-18.875	-6.9	26.1	2.690377	0.04947	54.38401051
26.3	-19.375	-16.5	38.5	3.274312	0.253011	12.941382
199.1	-3.375	11.7	33.7	0.976895	0.020035	48.75942101
62.3	-14.125	-18.3	30.1	3.193394	0.07146	44.68785334
82.1	-23.375	9.9	35.7	2.110786	0.197143	10.70687775
128.9	-10.375	27.9	27.3	1.887825	0.032596	57.91584857
64.1	-3.625	-22.5	28.9	1.611158	0.033808	47.6561169
141.5	-21.125	-28.5	31.7	2.448152	0.1605	15.25328349
22.7	-2.875	-9.9	33.5	2.026313	0.076501	26.48740539
33.5	-10.625	-10.5	37.3	3.150076	0.097983	32.14920956
87.5	-15.125	-14.7	20.7	3.009811	0.061872	48.64576868
49.7	-22.125	4.5	23.3	3.364324	0.246349	13.65673902
188.3	-15.375	-23.1	20.1	2.224017	0.038902	57.1697342
20.9	-4.125	0.9	29.5	2.245441	0.087383	25.69654281
46.1	-1.625	-8.1	29.3	1.489627	0.040627	36.66593645
182.9	-13.875	-2.7	32.5	2.110276	0.035216	59.92378464
166.7	-10.875	-15.3	25.7	1.860241	0.031041	59.9285139
42.5	-0.125	9.3	30.7	1.197096	0.039689	30.16190884
110.9	-15.875	-1.5	21.3	2.863396	0.054142	52.88677921
175.7	-17.125	-14.1	30.9	2.428383	0.04375	55.50589714
83.9	-1.375	2.7	35.1	1.054531	0.030163	34.96107814
193.7	-9.375	-26.1	22.3	1.595391	0.026876	59.36117726
127.1	-13.625	23.1	34.3	2.262145	0.040362	56.04640503
125.3	-17.375	-20.7	28.3	2.729941	0.053086	51.42487662
148.7	-6.375	-5.1	36.9	1.412979	0.024924	56.69150217
94.7	-5.375	-23.7	21.9	1.577048	0.029703	53.09389624
78.5	-7.875	2.1	32.9	2.032789	0.037537	54.15427445
67.7	-23.125	-21.9	26.5	3.086158	0.189085	16.32153793
159.5	-17.625	-8.7	27.7	2.613191	0.047418	55.10968409
143.3	-21.625	-29.7	29.9	2.50342	0.157676	15.87698825
136.1	-10.125	17.7	24.7	1.912968	0.036576	52.3011811
29.9	-24.125	-0.9	32.7	2.397541	0.245114	9.78133032
179.3	-5.625	-2.1	34.5	1.254735	0.022661	55.36979833
150.5	-6.125	-24.3	25.3	1.380155	0.024967	55.2791685
146.9	-9.875	-7.5	27.1	1.840007	0.030727	59.88241612
38.9	-16.125	-21.3	39.1	3.653647	0.120343	30.36027854
177.5	-23.625	-27.9	31.5	2.372574	0.13901	17.06764981
116.3	-14.625	6.3	37.1	2.496269	0.045735	54.58115229
51.5	-3.875	12.3	21.1	1.716994	0.036821	46.63083566
80.3	-12.875	11.1	39.9	2.596429	0.050277	51.64248066
103.7	-1.125	-13.5	35.3	0.921216	0.040064	22.99361022
44.3	-0.625	21.9	23.9	1.213099	0.031243	38.82786544
37.1	-20.375	23.7	28.1	2.194387	0.200525	10.94320908
100.1	-12.125	-18.9	34.7	2.337848	0.042576	54.90999624
197.3	-19.125	-3.9	25.9	2.607026	0.047328	55.08422076
31.7	-15.625	17.1	23.7	3.395261	0.224035	15.1550472
69.5	-12.375	-27.3	27.9	2.75982	0.058239	47.3878329
161.3	-12.625	-6.3	22.7	2.110164	0.034869	60.51690613
195.5	-21.875	14.1	33.3	2.273198	0.190752	11.91703364
152.3	-19.625	18.9	20.5	2.096432	0.177025	11.84257591
96.5	-11.375	-19.5	39.5	2.240378	0.041234	54.33326866
173.9	-20.625	-15.9	32.3	2.688521	0.109389	24.57761749
114.5	-9.625	-11.1	20.3	2.012981	0.035066	57.4054925
137.9	-18.625	18.3	23.5	2.220363	0.164285	13.51531181
28.1	-0.375	5.1	38.7	1.470455	0.047248	31.12205808
91.1	-4.375	29.7	22.5	1.348438	0.026289	51.29286013
123.5	-8.625	-5.7	37.7	1.76902	0.030338	58.31036983
73.1	-19.875	-12.3	26.7	3.754811	0.092785	40.46786657
107.3	-23.875	0.3	24.5	2.668952	0.223912	11.919647
76.7	-11.875	1.5	23.1	2.72112	0.05242	51.90995803
118.1	-1.875	24.3	22.1	0.935656	0.022402	41.76662798
181.1	-16.375	14.7	24.1	2.588455	0.046719	55.40476038
157.7	-20.125	-26.7	37.5	2.302954	0.138907	16.57910688
155.9	-11.625	7.5	29.1	1.980606	0.03301	60.00018176
35.3	-4.625	-4.5	38.1	2.141434	0.056737	37.74316584
